Number,Track 1,Track 2,Artist,Price,Webpage Title,URL
107,Does Your Mame Know About Me,Fading Away,Bobby Taylor and the Vancouvers,0,UNKNOWN,UNKNOWN
108,First I Look At The Purse,Searching for a Girl,The Contours,$2.50,The Contours – First I Look At The Purse,https://www.discogs.com/master/278119-The-Contours-First-I-Look-At-The-Purse
109,Long Black Limousine,Little Green Apples,O.C.Smith,$0.35,O. C. Smith* – Little Green Apples / Long Black Limousine,https://www.discogs.com/master/337630-O-C-Smith-Little-Green-Apples-Long-Black-Limousine
110,Time on Your Side,Reach Out of the Darkness,Friend and Lover,$0.70,Friend And Lover – Reach Out Of The Darkness / Time On Your Side,https://www.discogs.com/master/225612-Friend-And-Lover-Reach-Out-Of-The-Darkness-Time-On-Your-Side
111,Comin Home Baby,More,Kai Winding and Orchestra,$0.75,Kai Winding & Orchestra* – More / Comin' Home Baby,https://www.discogs.com/master/329072-Kai-Winding-Orchestra-More-Comin-Home-Baby
112,It's True I Love You,Love is Strange,Peaches and Herb,$0.69,Peaches And Herb* – Love Is Strange / It's True I Love You,https://www.discogs.com/master/437460-Peaches-And-Herb-Love-Is-Strange-Its-True-I-Love-You
113,Don'tcha Hear Me Callin' to ya,Let the Sunshine in,The 5th Dimension,$0.99,The 5th Dimension* – Medley: Aquarius / Let The Sunshine In (The Flesh Failures) / Don'tcha Hear Me Callin' To Ya,https://www.discogs.com/release/5252486-The-5th-Dimension-Medley-Aquarius-Let-The-Sunshine-In-The-Flesh-Failures-Dontcha-Hear-Me-Callin-To-Y
114,Water Boy,Didn't it Rain,Evelyn Freeman,$4.00,Evelyn Freeman – Didn't It Rain / Water Boy,https://www.discogs.com/master/539646-Evelyn-Freeman-Didnt-It-Rain-Water-Boy
115,Summer in the City,Butchies Tune,The Lovin Spoonful,$0.35,The Lovin' Spoonful – Summer In The City,https://www.discogs.com/master/202891-The-Lovin-Spoonful-Summer-In-The-City
116,Kissin in the Kitchen,Duke of Earl,Gene Chandler,$0.25,Gene Chandler – Duke Of Earl / Kissin' In The Kitchen,https://www.discogs.com/master/211962-Gene-Chandler-Duke-Of-Earl-Kissin-In-The-Kitchen
117,People Get Ready,Time Has Come Today,The Chambers Brothers,$0.95,The Chambers Brothers – Time Has Come Today,https://www.discogs.com/master/300382-The-Chambers-Brothers-Time-Has-Come-Today
118,Can't Buy Me Love,You Can't Do That ,The Beatles,$0.15,The Beatles – Can't Buy Me Love,https://www.discogs.com/master/45871-The-Beatles-Cant-Buy-Me-Love
119,Break Your Promise,Alfie,The Delfonics,$0.90,The Delfonics – Break Your Promise / Alfie,https://www.discogs.com/master/445762-The-Delfonics-Break-Your-Promise-Alfie
120,What Good Am I Without You,I Want You Round,Marvin Gaye and Kim Weston,$0.99,Marvin Gaye & Kim Weston – What Good Am I Without You,https://www.discogs.com/master/363591-Marvin-Gaye-Kim-Weston-What-Good-Am-I-Without-You
121,I'm Sorry,You're Gone,The Delfonics,$0.74,The Delfonics – I'm Sorry / You're Gone,https://www.discogs.com/master/580849-The-Delfonics-Im-Sorry-Youre-Gone
122,Young Girl,I'm Losing You,The Union Gap,$0.19,The Union Gap Featuring Gary Puckett* – Young Girl / I'm Losing You,https://www.discogs.com/master/153794-The-Union-Gap-Featuring-Gary-Puckett-Young-Girl-Im-Losing-You
123,Roscoe James McClain,So in Love,The Tymes,$0.10,The Tymes – So Much In Love / Roscoe James McClain,https://www.discogs.com/master/240645-The-Tymes-So-Much-In-Love-Roscoe-James-McClain
124,Keep On Dancing,Make up Your Mind,The Gentrys,$1.08,The Gentrys – Keep On Dancing / Make Up Your Mind,https://www.discogs.com/release/1805541-The-Gentrys-Keep-On-Dancing-Make-Up-Your-Mind
125,Bread,Sunny,Bobby Hebb,$0.10,Bobby Hebb – Sunny / Bread,https://www.discogs.com/master/213665-Bobby-Hebb-Sunny-Bread
126,Hey Diddle Diddle,"Little Darling, I Need You",Marvin Gaye,$1.85,Marvin Gaye – Little Darling- I Need You / Hey Diddle Diddle,https://www.discogs.com/release/2075973-Marvin-Gaye-Little-Darling-I-Need-You-Hey-Diddle-Diddle
127,I Couldn't Cry if I Wanted To,I'm Losing You,The Temptations,$0.50,The Temptations – (I Know) I'm Losing You,https://www.discogs.com/master/312788-The-Temptations-I-Know-Im-Losing-You
128,Rip Van WInkle,For Sentimental Reasons,The Devotions,$0.49,The Devotions – Rip Van Winkle / (I Love You) For Sentimental Reasons,https://www.discogs.com/master/384581-The-Devotions-Rip-Van-Winkle-I-Love-You-For-Sentimental-Reasons
129,A Quiet Tear,This Guy's in Love With You,Herb Alpert,$0.14,Herb Alpert – This Guy's In Love With You,https://www.discogs.com/master/249396-Herb-Alpert-This-Guys-In-Love-With-You
130,Blue Velvet,Could This Be Magic,The Dubs,$1.75,The Dubs – Could This Be Magic / Blue Velvet,https://www.discogs.com/master/2988461-The-Dubs-Could-This-Be-Magic-Blue-Velvet
131,Ain't Too Proud to Beg,You'll Lose a Precious Love,The Temptations,$0.75,The Temptations – Ain't Too Proud To Beg / You'll Lose A Precious Love,https://www.discogs.com/release/4025170-The-Temptations-Aint-Too-Proud-To-Beg-Youll-Lose-A-Precious-Love
132,Summer Rain,Memory of the Coming Good,Johnny Rivers,$0.55,Johnny Rivers – Summer Rain / Memory Of The Coming Good,https://www.discogs.com/master/445961-Johnny-Rivers-Summer-Rain-Memory-Of-The-Coming-Good
